domain,post_type,page_url,title_ar,document_url,document_format,reference_years,status
economic,economic_statistics,https://bsc.ly/economic_statistics/%d9%85%d9%84%d8%ae%d8%b5-%d8%a5%d8%ad%d8%b5%d8%a7%d8%a1%d8%a7%d8%aa-%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-2015-%d9%85/,ملخص إحصاءات التجارة الخارجية 2015م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A3%D9%87%D9%85-%D9%85%D8%A4%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A5%D8%AD%D8%B5%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-2015.pdf,pdf,2015;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d9%85%d9%84%d8%ae%d8%b5-%d8%a5%d8%ad%d8%b5%d8%a7%d8%a1%d8%a7%d8%aa-%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-2016-%d9%85/,ملخص إحصاءات التجارة الخارجية 2016م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A3%D9%87%D9%85-%D9%85%D8%A4%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A5%D8%AD%D8%B5%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-2016.pdf,pdf,2016;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a5%d8%ad%d8%b5%d8%a7%d8%a1%d8%a7%d8%aa-%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d9%84%d9%84%d9%88%d8%a7%d8%b1%d8%af%d8%a7%d8%aa-%d8%a7%d9%84/,إحصاءات التجارة الخارجية للواردات الزراعية 2007م _ 2010م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A5%D8%AD%D8%B5%D8%A7%D8%A1%D8%A7%D8%A1%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D9%84%D9%84%D9%88%D8%A7%D8%B1%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-2007-2010.pdf,pdf,2007;2010;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a5%d8%ad%d8%b5%d8%a7%d8%a1%d8%a7%d8%aa-%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d9%84%d9%84%d9%88%d8%a7%d8%b1%d8%af%d8%a7%d8%aa-%d8%a7%d9%84-2/,إحصاءات التجارة الخارجية للواردات الزراعية 2011م _ 2015م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A5%D8%AD%D8%B5%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D8%A7%D8%B1%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-2011-2015.pdf,pdf,2011;2015;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a5%d8%ad%d8%b5%d8%a7%d8%a1%d8%a7%d8%aa-%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d9%84%d9%84%d9%88%d8%a7%d8%b1%d8%af%d8%a7%d8%aa-%d8%a7%d9%84-3/,إحصاءات التجارة الخارجية للواردات الزراعية 2016م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D8%AD%D8%B5%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D8%A7%D8%B1%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-2016.pdf,pdf,2016;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a5%d8%ad%d8%b5%d8%a7%d8%a1%d8%a7%d8%aa-%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d9%84%d9%84%d9%88%d8%a7%d8%b1%d8%af%d8%a7%d8%aa-%d8%a7%d9%84-4/,إحصاءات التجارة الخارجية للواردات الزراعية 2017م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D8%AD%D8%B5%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D8%A7%D8%B1%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-2017.pdf,pdf,2017;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a5%d8%ad%d8%b5%d8%a7%d8%a1%d8%a7%d8%aa-%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d9%84%d9%84%d9%88%d8%a7%d8%b1%d8%af%d8%a7%d8%aa-%d8%a7%d9%84-5/,إحصاءات التجارة الخارجية للواردات الزراعية 2018م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D8%AD%D8%B5%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D8%A7%D8%B1%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-2018.pdf,pdf,2018;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d8%a7%d9%84%d8%b4%d9%87%d8%b1%d9%8a%d8%a9-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3/,الأرقام القياسية الشهرية لأسعار المستهلك حسب المجاميع الرئيسية لسنة 2021م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D9%87%D8%B1%D9%8A%D8%A9-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83-%D8%AD%D8%B3%D8%A8-%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9-%D9%84%D8%B3%D9%86%D8%A9-2021%D9%85.pdf,pdf,2021;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d8%a7%d9%84%d8%b4%d9%87%d8%b1%d9%8a%d8%a9-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3-2/,الأرقام القياسية الشهرية لأسعار المستهلك حسب المجموعات الرئيسية لسنة 2020م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D9%87%D8%B1%D9%8A%D8%A9-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83-%D8%AD%D8%B3%D8%A8-%D8%A7%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9-%D9%84%D8%B3%D9%86%D8%A9-2020%D9%85.pdf,pdf,2020;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%b1%d9%82%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3%d8%aa%d9%87%d9%84%d9%83%d9%8a%d9%86-%d9%84%d8%b4%d9%87%d8%b1/,الرقم القياسي لأسعار المستهلكين لشهر يونيو 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%B1%D9%82%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83%D9%8A%D9%86-%D9%84%D8%B4%D9%87%D8%B1-%D9%8A%D9%88%D9%86%D9%8A%D9%88-%D9%84%D8%B3%D9%86%D8%A9-2019%D9%85.pdf,pdf,2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%b1%d9%82%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3%d8%aa%d9%87%d9%84%d9%83%d9%8a%d9%86-%d9%84%d8%b4%d9%87%d8%b1-2/,الرقم القياسي لأسعار المستهلكين لشهر يوليو 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%B1%D9%82%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83%D9%8A%D9%86-%D9%84%D8%B4%D9%87%D8%B1-%D9%8A%D9%88%D9%84%D9%8A%D9%88-%D9%84%D8%B3%D9%86%D8%A9-2019%D9%85.pdf,pdf,2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%b1%d9%82%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3%d8%aa%d9%87%d9%84%d9%83%d9%8a%d9%86-%d9%84%d8%b4%d9%87%d8%b1-3/,الرقم القياسي لأسعار المستهلكين لشهر أغسطس 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%B1%D9%82%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83%D9%8A%D9%86-%D9%84%D8%B4%D9%87%D8%B1-%D8%A3%D8%BA%D8%B3%D8%B7%D8%B3-%D9%84%D8%B3%D9%86%D8%A9-2019%D9%85.pdf,pdf,2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%b1%d9%82%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3%d8%aa%d9%87%d9%84%d9%83%d9%8a%d9%86-%d9%84%d8%b4%d9%87%d8%b1-4/,الرقم القياسي لأسعار المستهلكين لشهر سبتمبر 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%B1%D9%82%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83%D9%8A%D9%86-%D9%84%D8%B4%D9%87%D8%B1-%D8%B3%D8%A8%D8%AA%D9%85%D8%A8%D8%B1-%D9%84%D8%B3%D9%86%D8%A9-2019%D9%85.pdf,pdf,2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d8%a7%d9%84%d8%b4%d9%87%d8%b1%d9%8a%d8%a9-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3-3/,الأرقام القياسية الشهرية لأسعار المستهلك لسنة 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D9%87%D8%B1%D9%8A%D8%A9-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83-%D9%84%D8%B3%D9%86%D8%A9-2019%D9%85.pdf,pdf,2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%a7%d9%84%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d8%a7%d9%84%d8%b4%d9%87%d8%b1%d9%8a%d8%a9-%d9%84%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3-4/,الأرقام القياسية الشهرية لأسعار المستهلك حسب المجموعات الرئيسية لسنة 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D9%87%D8%B1%D9%8A%D8%A9-%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83-%D8%AD%D8%B3%D8%A8-%D8%A7%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9-%D9%84%D8%B3%D9%86%D8%A9-2019%D9%85.pdf,pdf,2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d9%85%d8%b9%d8%af%d9%84-%d8%a7%d9%84%d8%aa%d8%b6%d8%ae%d9%85-%d8%a7%d9%84%d8%b3%d9%86%d9%88%d9%8a-%d8%ad%d8%b3%d8%a8-%d8%a7%d9%84%d9%85%d8%ac%d9%85%d9%88%d8%b9%d8%a7%d8%aa-%d8%a7%d9%84%d8%b1%d8%a6/,معدل التضخم السنوي حسب المجموعات الرئيسية لسنة 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D9%85%D8%B9%D8%AF%D9%84-%D8%A7%D9%84%D8%AA%D8%B6%D8%AE%D9%85-%D8%A7%D9%84%D8%B3%D9%86%D9%88%D9%8A-%D8%AD%D8%B3%D8%A8-%D8%A7%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9-%D9%84%D8%B3%D9%86%D8%A9-2019%D9%85.pdf,pdf,2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d8%aa%d9%82%d8%b1%d9%8a%d8%b1-%d9%85%d8%a4%d8%b4%d8%b1-%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d8%b3%d8%aa%d9%87%d9%84%d9%83-%d8%a7%d9%84%d9%86%d8%b5%d9%81-%d8%a7%d9%84%d8%a3%d9%88%d9%84/,تقرير مؤشر أسعار المستهلك النصف الأول سنة 2019م سنة الأساس 2008م,https://bsc.ly/wp-content/uploads/2023/05/%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D9%85%D8%A4%D8%B4%D8%B1-%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D9%84%D9%83-%D8%A7%D9%84%D9%86%D8%B5%D9%81-%D8%A7%D9%84%D8%A3%D9%88%D9%84-%D8%B3%D9%86%D8%A9-2019%D9%85-%D8%B3%D9%86%D8%A9-%D8%A7%D9%84%D8%A3%D8%B3%D8%A7%D8%B3-2008%D9%85.pdf,pdf,2008;2019;2023,document_linked
economic,economic_statistics,https://bsc.ly/economic_statistics/%d9%85%d8%b9%d8%af%d9%84-%d8%a7%d9%84%d8%aa%d8%b6%d8%ae%d9%85-%d8%a7%d9%84%d8%b3%d9%86%d9%88%d9%8a-%d8%ad%d8%b3%d8%a8-%d8%a7%d9%84%d9%85%d8%ac%d9%85%d9%88%d8%b9%d8%a7%d8%aa-%d8%a7%d9%84%d8%b1%d8%a6-2/,معدل التضخم السنوي حسب المجموعات الرئيسية لسنة 2015م _ 2019م,https://bsc.ly/wp-content/uploads/2023/05/%D9%85%D8%B9%D8%AF%D9%84-%D8%A7%D9%84%D8%AA%D8%B6%D8%AE%D9%85-%D8%A7%D9%84%D8%B3%D9%86%D9%88%D9%8A-%D8%AD%D8%B3%D8%A8-%D8%A7%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9-%D9%84%D8%B3%D9%86%D8%A9-2015%D9%85-2019%D9%85.pdf,pdf,2015;2019;2023,document_linked
