decision_number,decision_year,decided,act_ar,act_en,electoral_group,municipalities_named,municipalities_ar,title,post_id,link,decision_text_available,scan_url,publishing_authority
151,2024,2024-12-22,النتائج النهائية,final_results,1,0,,#قرار مجلس المفوضية رقم (151) لسنة 2024 بشأن اعتماد النتائج النهائية لانتخابات المجالس البلدية (المجموعة الأولى-2024),34227,https://hnec.ly/2024/12/22/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-151-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2024/12/قرار-رقم-151.pdf,High National Elections Commission
154,2024,2024-12-22,حجب,results_withheld,1,0,,#قرار مجلس المفوضية رقم (154) لسنة 2024 بشأن حجب بعض نتائج انتخابات المجالس البلدية (المجموعة الأولى-2024),34231,https://hnec.ly/2024/12/22/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-154-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%ad%d8%ac%d8%a8/,0,https://hnec.ly/wp-content/uploads/2024/12/470187980_602543225494708_1938583477285305093_n.jpg,High National Elections Commission
1,2025,2025-01-01,اللائحة التنفيذية,regulation_amendment,,0,,#قرار مجلس المفوضية رفم (1) لسنة 2025 بشأن تعديل بعض أحكام اللائحة التنفيذية لانتخابات المجالس البلدية بالقرار رقم (43) لسنة 2023,34367,https://hnec.ly/2025/01/01/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%81%d9%85-1-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b9%d8%af/,0,https://hnec.ly/wp-content/uploads/2025/01/القرار-رقم-1.pdf,High National Elections Commission
59,2025,2025-04-06,,,,0,,قرار مجلس المفوضية رقم (59) لسنة 2025,36761,https://hnec.ly/2025/04/06/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-59-%d9%84%d8%b3%d9%86%d8%a9-2025/,0,https://hnec.ly/wp-content/uploads/2025/04/2025461.jpg,High National Elections Commission
60,2025,2025-04-06,,,,0,,قرار مجلس المفوضية رقم (60) لسنة 2025,36795,https://hnec.ly/2025/04/06/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-60-%d9%84%d8%b3%d9%86%d8%a9-2025/,0,,High National Elections Commission
61,2025,2025-04-06,,,,0,,قرار مجلس المفوضية رقم (61) لسنة 2025,36803,https://hnec.ly/2025/04/06/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-61-%d9%84%d8%b3%d9%86%d8%a9-2025/,0,,High National Elections Commission
62,2025,2025-04-08,,,,0,,قرار مجلس المفوضية رقم (62) لسنة 2025,36851,https://hnec.ly/2025/04/08/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-62-%d9%84%d8%b3%d9%86%d8%a9-2025/,0,,High National Elections Commission
67,2025,2025-04-24,استبعاد,candidate_exclusion,,0,,قرار مجلس المفوضية رقم (67) لسنة 2025 بشأن استبعاد مترشحين لانتخابات المجالس البلدية (المجموعة/2025),37221,https://hnec.ly/2025/04/24/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-67-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b3%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/04/4241.jpg,High National Elections Commission
83,2025,2025-05-05,استبعاد,candidate_exclusion,2,0,,قرار مجلس المفوضية رقم (83) لسنة 2025 بشأن استبعاد مترشحين لانتخابات المجالس البلدية (المجموعة الثانية/2025),37400,https://hnec.ly/2025/05/05/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-83-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b3%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/05/قرار-83_page-0002.jpg,High National Elections Commission
89,2025,2025-06-01,القوائم الأولية للناخبين,preliminary_voter_list,2,0,,قرار مجلس المفوضية رقم (89) لسنة 2025 بشأن اعتماد القوائم الأولية للناخبين لانتخابات المجالس البلدية (المجموعة الثانية – 2025),40406,https://hnec.ly/2025/06/01/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-89-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/06/611.jpg,High National Elections Commission
99,2025,2025-06-16,القائمة النهائية,final_candidate_list,2,0,,قرار مجلس المفوضية رقم (99) لسنة 2025 بشأن اعتماد القائمة النهائية لمرشحي انتخابات المجالس البلدية (المجموعة الثانية – 2025),41234,https://hnec.ly/2025/06/16/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%81%d9%85-99-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/06/6161.jpg,High National Elections Commission
101,2025,2025-06-25,حملات الدعاية,campaign_start,2,0,,قرار مجلس المفوضية رقم (101) لسنة 2025 بشأن الإذن للبدء في حملات الدعاية الانتخابية لمترشحي انتخابات المجالس البلدية (المجموعة الثانية – 2025),41527,https://hnec.ly/2025/06/25/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-101-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d9%84%d8%a5/,0,https://hnec.ly/wp-content/uploads/2025/06/2561-1.jpg,High National Elections Commission
120,2025,2025-07-20,تعليق,suspension,2,0,,قرار مجلس المفوضية رقم (120) لسنة 2025 بشأن تعليق العملية الانتخابية في بعض الدوائر المستهدفة بانتخابات المجالس البلدية (المجموعة الثانية – 2025),42425,https://hnec.ly/2025/07/20/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-120-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b9%d9%84/,0,https://hnec.ly/wp-content/uploads/2025/07/قرار-120_page-0002.jpg,High National Elections Commission
127,2025,2025-08-04,استبعاد,candidate_exclusion,,0,,قرار مجلس المفوضية رقم (127) لسنة 2025 بشأن استبعاد مرشحين لانتفاء شرط التزكية لانتخابات المجالس البلدية (المجموعة/2025),42818,https://hnec.ly/2025/08/04/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-127-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b3%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/08/127-قرار_page-0001.jpg,High National Elections Commission
125,2025,2025-08-04,يوم الاقتراع,polling_day,2,0,,قرار مجلس المفوضية رقم (125) لسنة 2025 بشأن تحديد يوم الاقتراع لانتخابات المجالس البلدية (المجموعة الثانية – 2025),42825,https://hnec.ly/2025/08/04/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-125-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%ad%d8%af/,0,https://hnec.ly/wp-content/uploads/2025/08/قرار-125_page-0001.jpg,High National Elections Commission
140,2025,2025-08-23,النتائج الأولية,preliminary_results,2,0,,قرار مجلس المفوضية رقم (140) لسنة 2025 بشأن اعتماد النتائج الأولية لانتخاب المجالس البلدية (المجموعة الثانية – 2025),43806,https://hnec.ly/2025/08/23/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-140-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/08/23531.jpg,High National Elections Commission
143,2025,2025-08-26,النتائج الأولية,preliminary_results,2,0,,قرار مجلس المفوضية رقم (143) لسنة 2025 بشأن اعتماد النتائج الأولية الملحقة لانتخابات المجالس البلدية (المجموعة الثانية – 2025),43980,https://hnec.ly/2025/08/26/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-143-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/08/قرار-143-1.pdf,High National Elections Commission
147,2025,2025-09-10,النتائج النهائية,final_results,2,0,,قرار مجلس المفوضية رقم (147) بشأن اعتماد النتائج النهائية لانتخابات المجالس البلدية ( المجموعة الثانية -2025 ),44074,https://hnec.ly/2025/09/10/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-147-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa%d9%85%d8%a7%d8%af-%d8%a7%d9%84/,0,https://hnec.ly/wp-content/uploads/2025/09/قرار-147.pdf,High National Elections Commission
199,2025,2025-10-06,تنفيذ انتخابات,round_launch,3,0,,قرار مجلس المفوضية رقم (199) لسنة 2025 بشأن تنفيذ انتخابات (المجموعة الثالثة) من المجالس البلدية منتهية الولاية القانونية والمستحدثة بمجالس تسييرية للعام 2025,44328,https://hnec.ly/2025/10/06/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-199-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d9%86%d9%81/,0,https://hnec.ly/wp-content/uploads/2025/10/قرار-199_page-0002.jpg,High National Elections Commission
200,2025,2025-10-06,حملات الدعاية,campaign_start,3,0,,قرار مجلس المفوضية رقم (200) لسنة 2025 بشأن الإذن للبدء في حملات الدعاية الانتخابية لمترشحي انتخابات المجالس البلدية (المجموعة الثالثة – 2025),44333,https://hnec.ly/2025/10/06/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-200-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d9%84%d8%a5/,0,https://hnec.ly/wp-content/uploads/2025/10/قرار-200_page-0001.jpg,High National Elections Commission
199,2025,2025-10-18,,,,0,,بيان مجلس المفوضية بشأن: انطلاق عملية الاقتراع في (16) بلدية تنفيذاً للقرار رقم (199) لسنة 2025,44559,https://hnec.ly/2025/10/18/%d8%a8%d9%8a%d8%a7%d9%86-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d9%86%d8%b7%d9%84%d8%a7%d9%82-%d8%b9%d9%85%d9%84%d9%8a%d8%a9-%d8%a7-4/,0,,High National Elections Commission
207,2025,2025-10-20,تعليق,suspension,3,0,,قرار مجلس المفوضية رقم (207) لسنة 2025 بشأن تعليق العملية الانتخابية في بعض الدوائر المستهدفة بانتخابات المجالس البلدية (المجموعة الثالثة – 2025),44764,https://hnec.ly/2025/10/20/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-207-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b9%d9%84/,0,https://hnec.ly/wp-content/uploads/2025/10/20101.jpg,High National Elections Commission
211,2025,2025-10-22,النتائج الأولية,preliminary_results,3,0,,قرار مجلس المفوضية رقم (211) لسنة 2025 بشأن اعتماد النتائج الأولية لانتخابات المجالس البلدية لعدد (16) بلدية ضمن (المجموعة الثالثة) لسنة 2025,44969,https://hnec.ly/2025/10/22/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-211-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2025/10/22107.jpg,High National Elections Commission
228,2025,2025-11-17,النتائج النهائية,final_results,,0,,"قرار مجلس المفوضية رقم (228) لسنة 2025 , بشأن اعتماد النتائج النهائية لانتخابات المجالس البلدية",45622,https://hnec.ly/2025/11/17/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-228-%d9%84%d8%b3%d9%86%d8%a9-2025/,0,https://hnec.ly/wp-content/uploads/2025/11/قرار-228_page-0001.jpg,High National Elections Commission
230,2025,2025-11-19,,,,0,,قرار مجلس المفوضية رقم (230) لسنة 2025,45724,https://hnec.ly/2025/11/19/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-230-%d9%84%d8%b3%d9%86%d8%a9-2025/,0,https://hnec.ly/wp-content/uploads/2025/11/19115.jpg,High National Elections Commission
249,2025,2025-11-26,,,,0,,قرار مجلس المفوضية رقم (249) لسنة 2025,45904,https://hnec.ly/2025/11/26/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-249-%d9%84%d8%b3%d9%86%d8%a9-2025/,0,https://hnec.ly/wp-content/uploads/2025/11/26113.jpg,High National Elections Commission
250,2025,2025-12-02,يوم الاقتراع,polling_day,3,0,,قرار مجلس المفوضية رقم (250) لسنة 2025 بشأن تحديد يوم الاقتراع لانتخابات المجالس البلدية (المجموعة الثالثة – 2025),46008,https://hnec.ly/2025/12/02/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-250-%d9%84%d8%b3%d9%86%d8%a9-2025-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%ad%d8%af/,0,https://hnec.ly/wp-content/uploads/2025/12/قرار-250.pdf,High National Elections Commission
2,2026,2026-01-05,استبعاد,candidate_exclusion,3,1,تاجوراء;الجديدة,قرار مجلس المفوضية رقم (2) لسنة 2026 بشأن استبعاد مترشحين لانتخابات المجالس البلدية لبلديتي (تاجوراء – الجديدة) ضمن انتخابات المجموعة الثالثة /2025,46821,https://hnec.ly/2026/01/05/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-2-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b3%d8%aa/,0,https://hnec.ly/wp-content/uploads/2026/01/قرار-2_page-0001.jpg,High National Elections Commission
3,2026,2026-01-05,القوائم الأولية للمترشحين,preliminary_candidate_list,3,1,تاجوراء;الجديدة,قرار مجلس المفوضية رقم (3) لسنة 2026 بشأن اعتماد القوائم الأولية للمترشحين لانتخابات المجالس البلدية لبلديتي (تاجوراء – الجديدة) ضمن انتخابات المجموعة الثالثة /2025,46830,https://hnec.ly/2026/01/05/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-3-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2026/01/26153.jpg,High National Elections Commission
23,2026,2026-01-18,تشكيل المجلس البلدي,council_formation,,1,بنغازي,قرار مجلس المفوضية رقم (23) لسنة 2026 بشأن تشكيل المجلس البلدي (بنغازي),47021,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-23-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0001.jpg,High National Elections Commission
24,2026,2026-01-18,تشكيل المجلس البلدي,council_formation,,1,توكرة,قرار مجلس المفوضية رقم (24) لسنة 2026 بشأن تشكيل المجلس البلدي (توكرة),47030,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-24-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0002.jpg,High National Elections Commission
